100.01,3,1
100.01,4,1
100.01,3,1
100.01,3,1
100.01,3,1
100.01,4,1
100.01,2,1
100.01,3,1
100.01,2,1
100.01,2,1
100.01,5,1
100.01,2,1
100.009,2,1
100.009,3,1
100.009,2,1
100.009,4,1
100.009,4,1
100.009,2,1
100.009,4,1
100.009,2,1
100.009,3,1
100.008,2,1
100.008,2,1
100.008,3,1
100.008,4,1
100.008,2,1
100.008,3,1
100.008,2,1
100.008,2,1
100.008,3,1
100.008,5,1
100.008,2,1
100.008,3,1
100.008,2,1
100.008,4,1
100.008,4,1
100.008,4,1
100.008,2,1
100.008,3,1
100.008,2,1
100.008,3,1
100.008,3,1
100.007,5,1
100.007,2,1
100.007,2,1
100.007,3,1
100.007,5,1
100.007,2,1
100.007,2,1
100.007,3,1
100.007,2,1
100.007,4,1
100.007,3,1
100.007,3,1
100.007,4,1
100.007,4,1
100.007,4,1
100.007,3,1
100.006,5,1
100.006,3,1
100.006,1,1
100.006,5,1
100.006,3,1
100.006,2,1
100.006,5,1
100.006,3,1
100.006,4,1
100.006,4,1
100.006,2,1
100.006,4,1
100.006,2,1
100.006,2,1
100.006,4,1
100.006,2,1
100.006,2,1
100.006,5,1
100.006,1,1
100.006,3,1
100.006,3,1
100.006,3,1
100.006,2,1
100.006,2,1
100.006,3,1
100.006,3,1
100.006,2,1
100.005,2,1
100.005,3,1
100.005,3,1
100.005,2,1
100.005,3,1
100.005,4,1
100.005,3,1
100.005,3,1
100.005,3,1
100.005,3,1
100.005,2,1
100.005,2,1
100.005,3,1
100.005,3,1
100.005,4,1
100.005,5,1
100.005,3,1
100.005,2,1
100.005,2,1
100.005,2,1
100.005,3,1
100.005,2,1
100.005,2,1
100.005,4,1
100.005,4,1
100.005,2,1
100.005,3,1
100.004,4,1
100.004,3,1
100.004,2,1
100.004,3,1
100.004,4,1
100.004,2,1
100.004,4,1
100.004,3,1
100.004,2,1
100.004,3,1
100.004,2,1
100.004,4,1
100.004,2,1
100.004,2,1
100.004,3,1
100.004,3,1
100.004,3,1
100.004,2,1
100.004,3,1
100.004,5,1
100.004,3,1
100.004,3,1
100.004,2,1
100.004,3,1
100.004,2,1
100.004,2,1
100.004,3,1
100.004,3,1
100.004,2,1
100.004,2,1
100.004,4,1
100.004,2,1
100.004,2,1
100.004,3,1
100.004,2,1
100.004,3,1
100.003,3,1
100.003,2,1
100.003,3,1
100.003,3,1
100.003,4,1
100.003,2,1
100.003,3,1
100.003,3,1
100.003,2,1
100.003,3,1
100.003,4,1
100.003,3,1
100.003,3,1
